team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.5110132158590308,28,9
Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Mumbai Indians,0.4419642857142857,0.5512820512820513,19,-3
Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.4419642857142857,26,1
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,0.4711111111111111,0.5512820512820513,20,-5
Punjab Kings,Chennai Super Kings,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.5799086757990868,14,-2
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,0.49261083743842365,0.5110132158590308,26,0
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.4711111111111111,28,10
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.49261083743842365,40,0
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.49261083743842365,14,-4
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.5799086757990868,38,3
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Kolkata,Royal Challengers Bengaluru,0.5110132158590308,0.4711111111111111,40,6
Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.43891402714932126,19,-1
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi,Royal Challengers Bengaluru,0.4419642857142857,0.4711111111111111,19,-8
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,0.4419642857142857,0.5110132158590308,19,-3
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.5512820512820513,26,-1
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.43891402714932126,40,9
Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.43891402714932126,38,2
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.49261083743842365,28,3
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.43891402714932126,20,-1
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.5799086757990868,40,-9
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.4419642857142857,38,3
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,0.49261083743842365,0.5799086757990868,26,-3
Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.5512820512820513,14,-2
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bengaluru,0.49261083743842365,0.4711111111111111,26,-1
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.4419642857142857,28,8
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.5110132158590308,20,-6
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,Dharamsala,Punjab Kings,0.43891402714932126,0.4419642857142857,5,1
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,Himachal Pradesh Cricket Association Stadium,Dharamsala,Punjab Kings,0.43891402714932126,0.4711111111111111,5,1
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Rajasthan Royals,0.5512820512820513,0.49261083743842365,38,1
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.5799086757990868,20,-10
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata,Mumbai Indians,0.5110132158590308,0.5512820512820513,40,-12
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,Chennai Super Kings,0.4711111111111111,0.5799086757990868,3,-10
